round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
100,0.3231472969055176,0.8645418286323547,1.1850184202194214,0.7505800724029541,relu,64,0.3,100,8,Adam,2
100,0.21360841393470764,0.9198207259178162,0.7090958952903748,0.7993039488792419,relu,64,0.3,100,8,Adam,4
100,0.35845887660980225,0.8730079531669617,0.7760382890701294,0.7610208988189697,relu,64,0.3,100,8,Adam,6
100,0.15124528110027313,0.9521912336349487,0.8215888142585754,0.839907169342041,relu,64,0.3,100,8,RMSprop,2
100,0.15002597868442535,0.9506971836090088,1.0327180624008179,0.8201856017112732,relu,64,0.3,100,8,RMSprop,4
100,0.1831006407737732,0.9357569813728333,0.6957849860191345,0.8410673141479492,relu,64,0.3,100,8,RMSprop,6
100,0.2936317026615143,0.8725099563598633,0.8197139501571655,0.7911832928657532,relu,64,0.3,100,6,Adam,2
100,0.2440166026353836,0.907868504524231,1.1435662508010864,0.7633410692214966,relu,64,0.3,100,6,Adam,4
100,0.2583339810371399,0.9183266758918762,0.7018527984619141,0.7923433780670166,relu,64,0.3,100,6,Adam,6
100,0.13387101888656616,0.9631474018096924,0.7491828799247742,0.8317865133285522,relu,64,0.3,100,6,RMSprop,2
100,0.1699548065662384,0.93675297498703,0.8114970326423645,0.8225057721138,relu,64,0.3,100,6,RMSprop,4
100,0.16173410415649414,0.9467131495475769,0.9612373113632202,0.8062645196914673,relu,64,0.3,100,6,RMSprop,6
20,0.9694470167160034,0.504482090473175,0.8297449946403503,0.5545243620872498,relu,64,0.5,20,10,Adam,2
20,0.817699670791626,0.6180278658866882,0.7133439183235168,0.6960557103157043,relu,64,0.5,20,10,Adam,4
20,0.8355095386505127,0.5896414518356323,0.7356500625610352,0.7262181043624878,relu,64,0.5,20,10,Adam,6
20,0.7950100302696228,0.6459163427352905,0.7377642393112183,0.7099767923355103,relu,64,0.5,20,10,RMSprop,2
20,0.7438300251960754,0.6708167195320129,0.7560964226722717,0.613689124584198,relu,64,0.5,20,10,RMSprop,4
20,0.8233834505081177,0.6469123363494873,0.6825830340385437,0.7215777039527893,relu,64,0.5,20,10,RMSprop,6
20,0.791129469871521,0.612051784992218,0.631629467010498,0.747099757194519,relu,64,0.5,20,8,Adam,2
20,0.8359505534172058,0.5851593613624573,0.7900508642196655,0.6740139126777649,relu,64,0.5,20,8,Adam,4
20,0.8136576414108276,0.5911354422569275,0.7656161785125732,0.6508120894432068,relu,64,0.5,20,8,Adam,6
20,0.7442407608032227,0.6862549781799316,0.7303768992424011,0.6670533418655396,relu,64,0.5,20,8,RMSprop,2
20,0.7837929129600525,0.642430305480957,0.7050588726997375,0.7006960511207581,relu,64,0.5,20,8,RMSprop,4
